TF,target,target_symbol,target_gene_id,importance,trees_fitted_for_target,rank_within_TF,percentile_within_TF
TAL1,YOD1,YOD1,ENSG00000180667,10.30458927154541,36,62.0,0.00850480109739369
NFE2,ZNF160,ZNF160,ENSG00000170949,10.302048683166504,26,32.0,0.0043895747599451305
GATA1,LINC02506,LINC02506,ENSG00000251129,10.29116439819336,26,24.0,0.0032921810699588477
GFI1B,MRPL45,MRPL45,ENSG00000278845,10.280741691589355,27,49.0,0.006721536351165981
KLF1,GPR146,GPR146,ENSG00000164849,10.271724700927734,30,45.0,0.006172839506172839
KLF1,CCHCR1,CCHCR1,ENSG00000204536,10.268245697021484,27,46.0,0.006310013717421125
KLF1,STAT3,STAT3,ENSG00000168610,10.263346672058105,25,47.0,0.0064471879286694105
GFI1B,NOP14,NOP14,ENSG00000087269,10.247099876403809,32,50.0,0.006858710562414266
TAL1,SRP19,SRP19,ENSG00000153037,10.231612205505371,28,63.0,0.008641975308641974
NFE2,COX15,COX15,ENSG00000014919,10.22563648223877,28,33.0,0.004526748971193415
NFE2,CLK3,CLK3,ENSG00000179335,10.216691970825195,25,34.0,0.004663923182441701
KLF1,PFDN6,PFDN6,ENSG00000204220,10.215088844299316,25,48.0,0.006584362139917695
NFE2,ZMYM4,ZMYM4,ENSG00000146463,10.193354606628418,26,35.0,0.004801097393689987
GATA1,DPP9,DPP9,ENSG00000142002,10.186394691467285,25,25.0,0.003429355281207133
GATA1,GLRX2,GLRX2,ENSG00000023572,10.17977237701416,28,26.0,0.0035665294924554186
NFE2,WDR36,WDR36,ENSG00000134987,10.160669326782227,25,36.0,0.0049382716049382715
GFI1B,HBA2,HBA2,ENSG00000188536,10.145827293395996,25,51.0,0.0069958847736625515
GATA1,C9orf72,C9orf72,ENSG00000147894,10.14126205444336,28,27.0,0.003703703703703704
KLF1,C5,C5,ENSG00000106804,10.128701210021973,29,49.0,0.006721536351165981
GFI1B,NUCKS1,NUCKS1,ENSG00000069275,10.119170188903809,30,52.0,0.007133058984910837
TAL1,LRRC37A2,LRRC37A2,ENSG00000238083,10.111030578613281,26,64.0,0.008779149519890261
NFE2,RNF103,RNF103,ENSG00000239305,10.108962059020996,29,37.0,0.005075445816186557
KLF1,RBM5-AS1,RBM5-AS1,ENSG00000281691,10.107946395874023,28,50.0,0.006858710562414266
NFE2,CEP76,CEP76,ENSG00000101624,10.1038818359375,27,38.0,0.005212620027434842
GFI1B,KLHL15,KLHL15,ENSG00000174010,10.092166900634766,29,53.0,0.007270233196159122
TAL1,PSTPIP2,PSTPIP2,ENSG00000152229,10.088547706604004,29,65.0,0.008916323731138546
NFE2,TGM2,TGM2,ENSG00000198959,10.08258056640625,35,39.0,0.005349794238683128
NFE2,ADCK1,ADCK1,ENSG00000063761,10.081253051757812,28,40.0,0.0054869684499314125
KLF1,HIST1H2BB,HIST1H2BB,ENSG00000276410,10.057709693908691,26,51.0,0.0069958847736625515
GFI1B,INPP5F,INPP5F,ENSG00000198825,10.038594245910645,28,54.0,0.007407407407407408
KLF1,CLK1,CLK1,ENSG00000013441,10.036422729492188,27,52.0,0.007133058984910837
KLF1,ZNF337,ZNF337,ENSG00000130684,10.032123565673828,25,53.0,0.007270233196159122
GATA1,FIG4,FIG4,ENSG00000112367,10.016082763671875,29,28.0,0.003840877914951989
NFE2,PLAG1,PLAG1,ENSG00000181690,10.000113487243652,25,41.0,0.005624142661179698
GATA1,EIF4EBP3,EIF4EBP3,ENSG00000243056,9.997883796691895,25,29.0,0.003978052126200274
NFE2,STK19,STK19,ENSG00000204344,9.981588363647461,25,42.0,0.005761316872427984
TAL1,HIST1H2BK,HIST1H2BK,ENSG00000197903,9.973231315612793,31,66.0,0.00905349794238683
KLF1,TRMT44,TRMT44,ENSG00000155275,9.969472885131836,28,54.0,0.007407407407407408
NFE2,TSPAN5,TSPAN5,ENSG00000168785,9.96562671661377,25,43.0,0.005898491083676269
TAL1,GPN2,GPN2,ENSG00000142751,9.963783264160156,28,67.0,0.009190672153635117
GATA1,VPS29,VPS29,ENSG00000111237,9.955119132995605,25,30.0,0.00411522633744856
GATA1,COLQ,COLQ,ENSG00000206561,9.944999694824219,26,31.0,0.004252400548696845
GFI1B,NMNAT3,NMNAT3,ENSG00000163864,9.93649673461914,26,55.0,0.0075445816186556925
NFE2,SLC2A13,SLC2A13,ENSG00000151229,9.936275482177734,25,44.0,0.006035665294924554
TAL1,OGDH,OGDH,ENSG00000105953,9.9347505569458,27,68.0,0.009327846364883402
GFI1B,NEDD4,NEDD4,ENSG00000069869,9.929182052612305,25,56.0,0.007681755829903978
NFE2,IRAK2,IRAK2,ENSG00000134070,9.92905044555664,25,45.0,0.006172839506172839
GFI1B,MED14,MED14,ENSG00000180182,9.928966522216797,28,57.0,0.007818930041152264
TAL1,FAM27C,FAM27C,ENSG00000231527,9.927590370178223,25,69.0,0.009465020576131687
GFI1B,MMAB,MMAB,ENSG00000139428,9.926909446716309,28,58.0,0.007956104252400549
GFI1B,AP3M1,AP3M1,ENSG00000185009,9.926539421081543,28,59.0,0.008093278463648833
GFI1B,RPL27,RPL27,ENSG00000131469,9.91632080078125,28,60.0,0.00823045267489712
GFI1B,OGG1,OGG1,ENSG00000114026,9.899259567260742,25,61.0,0.008367626886145405
TAL1,MED1,MED1,ENSG00000125686,9.892518997192383,26,70.0,0.009602194787379973
TAL1,AC003102.1,AC003102.1,ENSG00000260793,9.889278411865234,25,71.0,0.009739368998628258
GFI1B,KLHDC3,KLHDC3,ENSG00000124702,9.879729270935059,31,62.0,0.00850480109739369
KLF1,SNHG5,SNHG5,ENSG00000203875,9.852258682250977,25,55.0,0.0075445816186556925
GFI1B,CD151,CD151,ENSG00000177697,9.850870132446289,25,63.0,0.008641975308641974
GATA1,AFF4,AFF4,ENSG00000072364,9.8485107421875,25,32.0,0.0043895747599451305
KLF1,NOL8,NOL8,ENSG00000198000,9.838631629943848,27,56.0,0.007681755829903978
GFI1B,POLA1,POLA1,ENSG00000101868,9.83846664428711,26,64.0,0.008779149519890261
KLF1,TRMO,TRMO,ENSG00000136932,9.834221839904785,26,57.0,0.007818930041152264
GATA1,GULP1,GULP1,ENSG00000144366,9.833231925964355,26,33.0,0.004526748971193415
TAL1,POLE,POLE,ENSG00000177084,9.82172966003418,29,72.0,0.009876543209876543
NFE2,EIF3B,EIF3B,ENSG00000106263,9.817551612854004,30,46.0,0.006310013717421125
NFE2,NME7,NME7,ENSG00000143156,9.80740737915039,29,47.0,0.0064471879286694105
NFE2,OR2AT4,OR2AT4,ENSG00000171561,9.79927921295166,28,48.0,0.006584362139917695
GFI1B,MIER1,MIER1,ENSG00000198160,9.789237022399902,33,65.0,0.008916323731138546
NFE2,PIGS,PIGS,ENSG00000087111,9.784619331359863,29,49.0,0.006721536351165981
KLF1,FAM174C,FAM174C,ENSG00000228300,9.7843599319458,27,58.0,0.007956104252400549
KLF1,PCBP1,PCBP1,ENSG00000169564,9.783519744873047,35,59.0,0.008093278463648833
NFE2,CAT,CAT,ENSG00000121691,9.78239631652832,27,50.0,0.006858710562414266
GFI1B,EPDR1,EPDR1,ENSG00000086289,9.776823997497559,27,66.0,0.00905349794238683
NFE2,CFAP161,CFAP161,ENSG00000156206,9.772181510925293,27,51.0,0.0069958847736625515
GATA1,TFE3,TFE3,ENSG00000068323,9.766233444213867,25,34.0,0.004663923182441701
NFE2,AGPAT4,AGPAT4,ENSG00000026652,9.760939598083496,28,52.0,0.007133058984910837
KLF1,NSUN2,NSUN2,ENSG00000037474,9.75654125213623,29,60.0,0.00823045267489712
GFI1B,SEH1L,SEH1L,ENSG00000085415,9.75273323059082,26,67.0,0.009190672153635117
GFI1B,ENOSF1,ENOSF1,ENSG00000132199,9.751167297363281,30,68.0,0.009327846364883402
GFI1B,VPS54,VPS54,ENSG00000143952,9.744691848754883,25,69.0,0.009465020576131687
NFE2,TRHDE,TRHDE,ENSG00000072657,9.735909461975098,27,53.0,0.007270233196159122
NFE2,BRAF,BRAF,ENSG00000157764,9.73392105102539,26,54.0,0.007407407407407408
GATA1,ATXN7L1,ATXN7L1,ENSG00000146776,9.732917785644531,25,35.0,0.004801097393689987
GFI1B,STX10,STX10,ENSG00000104915,9.732489585876465,27,70.0,0.009602194787379973
KLF1,GLRX5,GLRX5,ENSG00000182512,9.728446006774902,26,61.0,0.008367626886145405
KLF1,ZFAND2A,ZFAND2A,ENSG00000178381,9.728169441223145,26,62.0,0.00850480109739369
GATA1,PPTC7,PPTC7,ENSG00000196850,9.724335670471191,27,36.0,0.0049382716049382715
KLF1,TLE4,TLE4,ENSG00000106829,9.72213077545166,27,63.0,0.008641975308641974
GFI1B,AUP1,AUP1,ENSG00000115307,9.715808868408203,28,71.0,0.009739368998628258
NFE2,SLC35A4,SLC35A4,ENSG00000176087,9.679237365722656,25,55.0,0.0075445816186556925
GFI1B,C1orf50,C1orf50,ENSG00000164008,9.677597999572754,33,72.0,0.009876543209876543
KLF1,CTDNEP1,CTDNEP1,ENSG00000175826,9.665386199951172,28,64.0,0.008779149519890261
NFE2,UBE2O,UBE2O,ENSG00000175931,9.630325317382812,29,56.0,0.007681755829903978
NFE2,CAPN5,CAPN5,ENSG00000149260,9.61280632019043,25,57.0,0.007818930041152264
KLF1,PRRC1,PRRC1,ENSG00000164244,9.585713386535645,27,65.0,0.008916323731138546
KLF1,SPATA33,SPATA33,ENSG00000167523,9.550338745117188,28,66.0,0.00905349794238683
KLF1,ZBTB6,ZBTB6,ENSG00000186130,9.543604850769043,25,67.0,0.009190672153635117
GATA1,VAMP5,VAMP5,ENSG00000168899,9.532075881958008,25,37.0,0.005075445816186557
GATA1,SMIM26,SMIM26,ENSG00000232388,9.522810935974121,30,38.0,0.005212620027434842
NFE2,RPAIN,RPAIN,ENSG00000129197,9.517553329467773,29,58.0,0.007956104252400549
NFE2,CTSL,CTSL,ENSG00000135047,9.51684856414795,26,59.0,0.008093278463648833
NFE2,CDC42EP1,CDC42EP1,ENSG00000128283,9.51571273803711,31,60.0,0.00823045267489712
KLF1,JKAMP,JKAMP,ENSG00000050130,9.51430892944336,28,68.0,0.009327846364883402
NFE2,FAM199X,FAM199X,ENSG00000123575,9.498218536376953,25,61.0,0.008367626886145405
KLF1,TANGO6,TANGO6,ENSG00000103047,9.498029708862305,27,69.0,0.009465020576131687
GATA1,ATXN7L3B,ATXN7L3B,ENSG00000253719,9.494536399841309,25,39.0,0.005349794238683128
NFE2,ZMYND8,ZMYND8,ENSG00000101040,9.477425575256348,31,62.0,0.00850480109739369
NFE2,DPF2,DPF2,ENSG00000133884,9.473916053771973,25,63.0,0.008641975308641974
NFE2,DDX56,DDX56,ENSG00000136271,9.469846725463867,25,64.0,0.008779149519890261
KLF1,HIST1H2BN,HIST1H2BN,ENSG00000233822,9.460890769958496,25,70.0,0.009602194787379973
KLF1,CLK2,CLK2,ENSG00000176444,9.449862480163574,27,71.0,0.009739368998628258
KLF1,DYRK1B,DYRK1B,ENSG00000105204,9.442530632019043,27,72.0,0.009876543209876543
NFE2,MFAP3,MFAP3,ENSG00000037749,9.399850845336914,25,65.0,0.008916323731138546
NFE2,NRXN3,NRXN3,ENSG00000021645,9.380670547485352,25,66.0,0.00905349794238683
NFE2,ZNF844,ZNF844,ENSG00000223547,9.379864692687988,25,67.0,0.009190672153635117
GATA1,AC097382.3,AC097382.3,ENSG00000287104,9.328658103942871,25,40.0,0.0054869684499314125
NFE2,OAZ2,OAZ2,ENSG00000180304,9.321479797363281,25,68.0,0.009327846364883402
NFE2,FAM222B,FAM222B,ENSG00000173065,9.319514274597168,27,69.0,0.009465020576131687
NFE2,YIPF2,YIPF2,ENSG00000130733,9.29104232788086,26,70.0,0.009602194787379973
NFE2,RSPRY1,RSPRY1,ENSG00000159579,9.282919883728027,25,71.0,0.009739368998628258
NFE2,TMEM131L,TMEM131L,ENSG00000121210,9.282388687133789,30,72.0,0.009876543209876543
GATA1,ATG13,ATG13,ENSG00000175224,9.252229690551758,27,41.0,0.005624142661179698
GATA1,PDE12,PDE12,ENSG00000174840,9.23112678527832,30,42.0,0.005761316872427984
GATA1,ZCCHC10,ZCCHC10,ENSG00000155329,9.222576141357422,25,43.0,0.005898491083676269
GATA1,AC103794.1,AC103794.1,ENSG00000254878,9.192988395690918,25,44.0,0.006035665294924554
GATA1,PPM1L,PPM1L,ENSG00000163590,9.18185806274414,26,45.0,0.006172839506172839
GATA1,AC008892.1,AC008892.1,ENSG00000249236,9.171656608581543,26,46.0,0.006310013717421125
GATA1,RPS17,RPS17,ENSG00000182774,9.158217430114746,30,47.0,0.0064471879286694105
GATA1,AL158801.3,AL158801.3,ENSG00000258455,9.132403373718262,26,48.0,0.006584362139917695
GATA1,TRIM23,TRIM23,ENSG00000113595,9.123126983642578,25,49.0,0.006721536351165981
GATA1,PPCDC,PPCDC,ENSG00000138621,9.084370613098145,25,50.0,0.006858710562414266
GATA1,AC097534.1,AC097534.1,ENSG00000248774,9.066828727722168,28,51.0,0.0069958847736625515
GATA1,ATG4B,ATG4B,ENSG00000168397,9.007299423217773,25,52.0,0.007133058984910837
GATA1,PDCD6IP,PDCD6IP,ENSG00000170248,8.969648361206055,25,53.0,0.007270233196159122
GATA1,CLPB,CLPB,ENSG00000162129,8.960796356201172,25,54.0,0.007407407407407408
GATA1,DHX40,DHX40,ENSG00000108406,8.955451011657715,26,55.0,0.0075445816186556925
GATA1,SLC25A6,SLC25A6,ENSG00000169100,8.9429292678833,29,56.0,0.007681755829903978
GATA1,DNAJB1,DNAJB1,ENSG00000132002,8.9080810546875,26,57.0,0.007818930041152264
GATA1,PIGT,PIGT,ENSG00000124155,8.896382331848145,25,58.0,0.007956104252400549
GATA1,TOMM6,TOMM6,ENSG00000214736,8.8936128616333,25,59.0,0.008093278463648833
GATA1,ITPKC,ITPKC,ENSG00000086544,8.87242603302002,32,60.0,0.00823045267489712
GATA1,RRAGA,RRAGA,ENSG00000155876,8.869101524353027,29,61.0,0.008367626886145405
GATA1,HDAC1,HDAC1,ENSG00000116478,8.843345642089844,27,62.0,0.00850480109739369
GATA1,HEATR5B,HEATR5B,ENSG00000008869,8.812736511230469,29,63.0,0.008641975308641974
GATA1,NOL12,NOL12,ENSG00000273899,8.7365083694458,32,64.0,0.008779149519890261
GATA1,SQLE,SQLE,ENSG00000104549,8.736200332641602,28,65.0,0.008916323731138546
GATA1,MED15,MED15,ENSG00000099917,8.722731590270996,26,66.0,0.00905349794238683
GATA1,AC100835.2,AC100835.2,ENSG00000275527,8.701556205749512,27,67.0,0.009190672153635117
GATA1,SLC25A17,SLC25A17,ENSG00000100372,8.70107364654541,30,68.0,0.009327846364883402
GATA1,DNAJC16,DNAJC16,ENSG00000116138,8.698357582092285,29,69.0,0.009465020576131687
GATA1,ZKSCAN1,ZKSCAN1,ENSG00000106261,8.695667266845703,25,70.0,0.009602194787379973
GATA1,CCDC174,CCDC174,ENSG00000154781,8.694859504699707,27,71.0,0.009739368998628258
GATA1,PRPF31,PRPF31,ENSG00000105618,8.684845924377441,31,72.0,0.009876543209876543
