TF,target,target_symbol,target_gene_id,signed_association,absolute_association,p_value,positive_sign_frequency,bootstrap_sign_consistency,bootstrap_top1_frequency,bootstrap_top5_frequency,bootstrap_top10_frequency,fdr_global,stable_edge
BCL11A,NUCKS1,NUCKS1,ENSG00000069275,0.1656525530121269,0.1656525530121269,1.899414065014012e-09,1.0,1.0,0.2,0.85,1.0,5.575863839175361e-07,True
NFE2,TM9SF3,TM9SF3,ENSG00000077147,0.16554879362158892,0.16554879362158892,1.944597693296035e-09,1.0,1.0,0.61,1.0,1.0,5.670446873651239e-07,True
BCL11A,H3F3A,H3F3A,ENSG00000163041,0.16523560700760997,0.16523560700760997,2.087415294398937e-09,1.0,1.0,0.22,0.88,0.98,6.046592382583412e-07,True
BCL11A,NCEH1,NCEH1,ENSG00000144959,0.16488594891214536,0.16488594891214536,2.2589310982058268e-09,1.0,1.0,0.25,0.87,0.95,6.458005458703826e-07,True
KLF1,OSBP2,OSBP2,ENSG00000184792,0.16488586648667267,0.16488586648667267,2.2589731028387865e-09,1.0,1.0,0.87,0.99,1.0,6.458005458703826e-07,True
BCL11A,TLN1,TLN1,ENSG00000137076,0.16480368727564448,0.16480368727564448,2.3012325412366078e-09,1.0,1.0,0.2,0.77,0.96,6.53609813984995e-07,True
BCL11A,ZNF273,ZNF273,ENSG00000198039,0.16414858826417741,0.16414858826417741,2.6667550359620908e-09,1.0,1.0,0.29,0.86,0.96,7.525410662773023e-07,True
KLF1,HMBS,HMBS,ENSG00000256269,0.16342576187332655,0.16342576187332655,3.135648552848584e-09,1.0,1.0,0.94,0.98,1.0,8.791876134717761e-07,True
GFI1B,SLC25A21,SLC25A21,ENSG00000183032,0.16336608423599905,0.16336608423599905,3.177760600657747e-09,1.0,1.0,0.63,0.96,1.0,8.853200552405722e-07,True
BCL11A,DECR1,DECR1,ENSG00000104325,0.16326316327413493,0.16326316327413493,3.2516833959155876e-09,1.0,1.0,0.22,0.82,0.98,9.001812135275178e-07,True
KLF1,GYPC,GYPC,ENSG00000136732,0.1630497812523243,0.1630497812523243,3.4103106846120366e-09,1.0,1.0,0.9,0.99,1.0,9.381571656913866e-07,True
GFI1B,RPL18,RPL18,ENSG00000063177,0.16295296966756415,0.16295296966756415,3.4847378034531654e-09,1.0,1.0,0.66,0.98,1.0,9.526401970190091e-07,True
BCL11A,PPP1R12B,PPP1R12B,ENSG00000077157,0.16276479491569554,0.16276479491569554,3.6339484883709467e-09,1.0,1.0,0.24,0.87,0.97,9.872602911884796e-07,True
BCL11A,HIST1H1E,HIST1H1E,ENSG00000168298,0.16271737978358589,0.16271737978358589,3.6725147210933037e-09,1.0,1.0,0.21,0.84,0.97,9.91578974695192e-07,True
BCL11A,CPOX,CPOX,ENSG00000080819,0.16189345147872036,0.16189345147872036,4.4098004690844385e-09,1.0,1.0,0.24,0.79,0.95,1.1829185890209146e-06,True
KLF1,SPTA1,SPTA1,ENSG00000163554,0.16186744876085007,0.16186744876085007,4.435268600810013e-09,1.0,1.0,0.91,1.0,1.0,1.1829185890209146e-06,True
NFE2,TFDP2,TFDP2,ENSG00000114126,0.1616244418102065,0.1616244418102065,4.680295767985307e-09,1.0,1.0,0.56,0.99,1.0,1.2407038599495597e-06,True
BCL11A,RPL3,RPL3,ENSG00000100316,0.16138330114887325,0.16138330114887325,4.936425366517075e-09,1.0,1.0,0.16,0.86,0.98,1.2887246230998818e-06,True
TAL1,MARK3,MARK3,ENSG00000075413,0.16137597040825008,0.16137597040825008,4.944421356182023e-09,1.0,1.0,0.93,1.0,1.0,1.2887246230998818e-06,True
GFI1B,RPS3,RPS3,ENSG00000149273,0.1613671627783356,0.1613671627783356,4.954044907900971e-09,1.0,1.0,0.75,1.0,1.0,1.2887246230998818e-06,True
