TF,target,target_symbol,target_gene_id,signed_association_day14,absolute_association_day14,stable_edge,detection_fraction,mean_cpm,rank_fraction_day14,author_TF_sensitive,author_log2fc,author_beta_weight,author_p_weight,author_effect_025,author_direction_concordant,author_supported_concordant,absolute_association,signed_association_day7,absolute_association_day7,rank_fraction_day7,loo_sign_fraction_day7,loo_fisher_z_sd_day7,detection_fraction_day7,mean_cpm_day7,signed_association_day9,absolute_association_day9,rank_fraction_day9,loo_sign_fraction_day9,loo_fisher_z_sd_day9,detection_fraction_day9,mean_cpm_day9,signed_association_day11,absolute_association_day11,rank_fraction_day11,loo_sign_fraction_day11,loo_fisher_z_sd_day11,detection_fraction_day11,mean_cpm_day11,estimable_prior_timepoints,prior_sign_concordance_fraction,prior_median_rank_fraction,prior_median_rank_score,prior_median_aligned_fisher_z,prior_fisher_z_sd,prior_association_sd,prior_association_range,prior_rank_sd,minimum_loo_sign_fraction,prior_association_heterogeneity_q,prior_association_heterogeneity_p,prior_association_heterogeneity_fdr,observationally_transportable,effective_guides_used,perturbation_log2fc,perturbation_fdr,E1_supported,E1_direction_concordant,strict_E1_testable,effect_day 7,effect_day 9,effect_day 11,effect_day 14,interaction_fdr,state_dependent,trajectory_shift_supported,fate_shift_associated,observational_perturbation_magnitude_spearman,observational_perturbation_oriented_spearman,observational_perturbation_direction_concordance_fraction,log1p_mean_cpm,descriptive_edge_class,day14_selected_not_preterminal_transportable,observationally_variable_and_perturbationally_variable,transportable_but_strict_E1_unsupported,observational_perturbation_direction_conflict
NFE2,JAK1,JAK1,ENSG00000162434,-0.1421694372297028,0.1421694372297028,True,0.651840490797546,205.71660671561003,0.0119341563786008,False,,,,False,False,False,0.1421694372297028,-0.052461290112611345,0.052461290112611345,0.146659349705035,1.0,0.016836421140744684,0.8026315789473857,123.46676459852064,-0.02722958718959892,0.02722958718959892,0.3534979423868313,0.75,0.02270785829719787,0.8108454312553713,118.45274739526418,-0.03157112096651585,0.03157112096651585,0.4843621399176955,1.0,0.02328241368948467,0.7771975630983415,109.62281930375124,3,1.0,0.3534979423868313,0.6465020576131687,0.0315816165982856,0.013512903116778429,0.013490039009603497,0.025231702923012425,0.170269793825074,0.75,0.590438656316942,0.7443683086303847,0.8654885127283789,False,3,0.007024261498722,0.977178306437247,False,False,True,0.0047939599022861,0.0067114862192215,0.0362525695025247,-0.0230511448612823,0.9546813130814008,False,True,False,0.0,-0.7999999999999999,0.75,5.331348805577594,variable_and_atlas_unsupported,True,False,False,False
NFE2,RHD,RHD,ENSG00000187010,0.1421629102245812,0.1421629102245812,True,0.6863496932515337,198.6122162820766,0.0120713305898491,True,-0.263870394372368,0.176649295962571,2.62903543125813e-41,True,False,False,0.1421629102245812,0.05984649403758223,0.05984649403758223,0.09960214021127727,1.0,0.028608601664868196,0.25761772853185416,22.24103639201083,0.09275035730924601,0.09275035730924601,0.006584362139917695,1.0,0.01240856346310619,0.34201537147736755,41.125094094654195,0.08031585103122982,0.08031585103122982,0.09190672153635117,1.0,0.010999245182117822,0.6788511749347247,129.94923327488115,3,1.0,0.09190672153635117,0.9080932784636488,0.08048921863101859,0.01671186216026823,0.01661463080295877,0.03290386327166378,0.051625948770763944,1.0,0.9711108552394312,0.6153553164894835,0.7866118525596592,True,3,0.1662876180041304,0.1053730284335537,False,False,True,-0.044884871756044,0.2868890513078048,0.0790429689655352,0.1626446788282766,0.5089737328609713,False,False,False,0.7999999999999999,-0.7999999999999999,0.25,5.296376565822506,transportable_and_atlas_supported,False,False,True,True
GATA1,RPS17,RPS17,ENSG00000182774,0.1414884372522429,0.1414884372522429,True,0.910276073619632,665.6843845658691,0.0020576131687242,True,-0.101212231837165,0.107680172778433,3.16315142254561e-50,False,False,False,0.1414884372522429,0.04697737891212732,0.04697737891212732,0.12896144875840307,1.0,0.009121958408836459,0.9993074792244079,1795.1712775396068,0.009993598099365245,0.009993598099365245,0.662962962962963,0.75,0.014374168830371521,0.9995730145175633,2044.3956952982794,-0.020505944727270867,0.020505944727270867,0.5267489711934157,1.0,0.0054807099015755124,0.9991296779808397,2140.068956206947,3,0.6666666666666666,0.5267489711934157,0.4732510288065843,0.009993930812855755,0.03381275068640141,0.03379354259139852,0.06748332363939819,0.2774727559393723,0.75,2.950515004090599,0.2287198236392865,0.4801279966371298,False,1,-0.2506584562378991,0.4158607794573909,False,False,False,0.0684304175890831,0.0016142545733254,0.0169441067558282,-0.1994540496065761,0.020895441026921,True,False,False,1.0,0.39999999999999997,0.5,6.502316747369618,variable_and_atlas_unsupported,True,True,False,False
GFI1B,COPS3,COPS3,ENSG00000141030,0.1414156725783367,0.1414156725783367,True,0.3236196319018405,48.63775413002952,0.0050754458161865,False,,,,False,False,False,0.1414156725783367,0.008591435757810944,0.008591435757810944,0.8120455480861573,0.75,0.022767224918694862,0.7299168975069373,86.05641914376083,0.016002715945691574,0.016002715945691574,0.6041152263374485,1.0,0.008058681381232531,0.804013663535473,105.80663122488997,0.06154448448363011,0.06154448448363011,0.14622770919067216,1.0,0.024915387176231978,0.8102697998259295,116.4888706400524,3,1.0,0.6041152263374485,0.3958847736625515,0.016004082184356686,0.028717675055702357,0.028673463704691076,0.05295304872581917,0.34063895638755487,0.75,2.0971015106304742,0.35044526220054834,0.5954128709604545,False,1,0.2613469503999797,0.5472533815383244,False,False,False,0.0219933411694755,-0.0463831737555486,-0.0002282480008521,0.1259421339027639,0.702017521401218,False,False,False,0.39999999999999997,-0.39999999999999997,0.5,3.904751716162814,variable_and_atlas_unsupported,True,False,False,False
GFI1B,RTTN,RTTN,ENSG00000176225,0.1412225272673384,0.1412225272673384,True,0.1679447852760736,25.14613946973553,0.0052126200274348,False,,,,False,False,False,0.1412225272673384,-0.024243538099979776,0.024243538099979776,0.5032240362189601,1.0,0.016832905326958494,0.6454293628808926,79.76005225192549,0.06487360058303039,0.06487360058303039,0.0607681755829904,1.0,0.02087202074458469,0.6929974380871248,89.52459978905101,0.03947992590035924,0.03947992590035924,0.3403292181069959,1.0,0.005779938875319133,0.667536988685813,85.76505639425476,3,0.6666666666666666,0.3403292181069959,0.6596707818930041,0.03950045709149342,0.045955267928064265,0.04591184121977449,0.08911713868301016,0.22377678121882802,1.0,7.117613232861241,0.028472783399168995,0.1373949506923855,False,1,-0.0099959392220381,0.9960376906068,False,False,False,-0.0452140862046797,-0.0728080546019004,-0.0627158242476416,0.0053716866807453,0.9546813130814008,False,True,False,-0.19999999999999998,-0.19999999999999998,0.5,3.2637015493920796,variable_and_atlas_unsupported,True,False,False,False
NFE2,PPIP5K2,PPIP5K2,ENSG00000145725,0.1411353145746861,0.1411353145746861,True,0.6065950920245399,207.3182257437995,0.0122085048010973,True,-0.0450588688380262,0.0587222538760077,1.1430015360088001e-21,False,False,False,0.1411353145746861,-0.015340824529763647,0.015340824529763647,0.6666209356564686,0.5,0.02707676818989255,0.8912742382271703,240.2210861432548,0.015097498361369473,0.015097498361369473,0.6119341563786008,1.0,0.010102769160120536,0.9432109308284019,330.3334508164499,-0.013041646874458503,0.013041646874458503,0.7655692729766804,0.6666666666666666,0.05783999458692192,0.9373368146213991,383.15424693293886,3,0.3333333333333333,0.6666209356564686,0.3333790643435314,-0.013042386344150596,0.016950126100185536,0.01694888989933438,0.030438322891133122,0.07787293746688273,0.5,1.0606385845472708,0.5884170626595395,0.7700426253409195,False,3,0.3370637079167035,0.0086640490260288,True,False,True,0.0134663759941451,0.0367665317226242,-0.0204860127782588,0.3545880579960315,0.0045234958771637,True,False,False,0.39999999999999997,-0.7999999999999999,0.25,5.339066842009086,variable_and_atlas_unsupported,True,True,False,True
GFI1B,NAP1L1,NAP1L1,ENSG00000187109,0.1411108322364969,0.1411108322364969,True,0.6088957055214724,192.10204858313963,0.0053497942386831,True,0.0374863496885076,0.065839415194654,9.22662359897718e-13,False,False,False,0.1411108322364969,0.01787099742636141,0.01787099742636141,0.6142131979695431,0.75,0.02923639932962655,0.9605263157895021,430.09142093378614,0.042463750705266055,0.042463750705266055,0.19465020576131686,1.0,0.023331090066496547,0.9799316823228555,470.51315479482355,0.06400327184251232,0.06400327184251232,0.12853223593964336,1.0,0.04854723299610871,0.9817232375978987,501.3107450518832,3,1.0,0.19465020576131686,0.8053497942386831,0.04248930147660815,0.02312537323304926,0.023082970734093152,0.04613227441615091,0.2634042163805624,0.75,1.3744681921265829,0.5029653006449296,0.69963038449261,False,1,0.067206651103557,0.8655457255387555,False,False,False,0.0008030205118261,-0.0218608258676577,-0.0280179586723871,0.1068445912134469,0.5841315318683553,False,False,False,1.0,-0.19999999999999998,0.5,5.2632187983017555,variable_and_atlas_unsupported,True,False,False,False
GFI1B,ABCC5,ABCC5,ENSG00000114770,0.1408967467346141,0.1408967467346141,True,0.2745398773006135,49.82081947590632,0.0054869684499314,True,0.285430085288089,-0.312085245331606,2.63558349825303e-48,True,True,True,0.1408967467346141,0.08652693208546046,0.08652693208546046,0.025929482782274662,1.0,0.024777208283705474,0.8587257617728744,221.17763358632385,0.07737566695727088,0.07737566695727088,0.030589849108367626,1.0,0.013523138571626262,0.8923996584116579,229.01908706532186,0.08643769178326885,0.08643769178326885,0.050205761316872426,1.0,0.009711794303395384,0.8442123585726645,208.55445066159632,3,1.0,0.030589849108367626,0.9694101508916324,0.08665393434307975,0.005293482983904203,0.00525791326201053,0.009151265128189576,0.012883068510998722,1.0,0.10278186438259396,0.9499072486145353,0.9757701765798451,True,1,0.3469298852451912,0.6674501619195826,False,False,False,-0.2751669109917885,-0.1996688342729038,-0.0724706189755545,0.2673635172942989,0.0067249973812192,True,True,True,0.6000000000000001,-0.39999999999999997,0.75,3.928306102829038,transportable_and_atlas_supported,False,False,False,False
GFI1B,HSDL2,HSDL2,ENSG00000119471,0.1408351695498258,0.1408351695498258,True,0.1710122699386503,22.94857942994113,0.0056241426611796,False,,,,False,False,False,0.1408351695498258,0.05272424529716632,0.05272424529716632,0.14199478666483742,1.0,0.008789375204271786,0.7174515235457176,91.26682153621432,0.04664693315899442,0.04664693315899442,0.16186556927297668,1.0,0.014711984395601885,0.7711357813834622,105.28432288524492,0.08188325981374801,0.08188325981374801,0.0607681755829904,1.0,0.03516275642636083,0.7067014795474303,89.14436670304096,3,1.0,0.14199478666483742,0.8580052133351626,0.0527731820399724,0.018918367546608385,0.018836049508515543,0.03523632665475359,0.05356194756262702,1.0,0.9875003941715961,0.6103332270681681,0.7866118525596592,False,1,0.2478915402485061,0.8915256183165826,False,False,False,-0.114825856982104,-0.1166597518862474,-0.1258874963579493,0.0007074081183499,0.8825843872037703,False,True,False,-0.39999999999999997,-0.39999999999999997,0.75,3.175909008107848,variable_and_atlas_unsupported,True,False,False,False
GFI1B,RACK1,RACK1,ENSG00000204628,0.1406704844098028,0.1406704844098028,True,0.7254601226993865,249.4191999327128,0.0057613168724279,True,-0.097507344594435,0.157628761364686,1.57427140367266e-113,False,False,False,0.1406704844098028,0.02185629330989366,0.02185629330989366,0.5424612429688572,0.75,0.022461449955973656,0.993074792243798,877.479647083005,0.04681183578448953,0.04681183578448953,0.16131687242798354,1.0,0.01711184582470488,0.9961571306576141,913.9561221032949,0.017422882421928628,0.017422882421928628,0.6737997256515775,0.6666666666666666,0.01878744478050867,0.9956483899042515,871.8488547038181,3,1.0,0.5424612429688572,0.4575387570311428,0.021859774540374872,0.015861935703208974,0.015843741204072063,0.029388953362560904,0.2661952613767426,0.6666666666666666,0.8995196730836719,0.6377813049938752,0.8024118451040828,False,1,0.2149398489094958,0.4781827014205362,False,False,False,0.0521366320065258,0.0225970113601636,0.093357305900646,0.1465937271705817,0.3834988097931139,False,False,False,0.19999999999999998,-0.19999999999999998,0.0,5.523136313333984,variable_and_atlas_unsupported,True,False,False,True
TAL1,HERC1,HERC1,ENSG00000103657,0.140666825099527,0.140666825099527,True,0.9363496932515336,845.9866343994682,0.0013717421124828,True,-0.0002152990066912,-0.219573363859218,2.87432976034618e-61,False,True,False,0.140666825099527,0.003795309627291077,0.003795309627291077,0.9123336534504047,0.75,0.015110540854740626,0.9168975069252331,290.7096147081934,0.04807944575971142,0.04807944575971142,0.06419753086419754,1.0,0.01294021118740807,0.9393680614859591,284.55660097591516,0.055399573182632875,0.055399573182632875,0.14334705075445817,1.0,0.043564203661312244,0.9477806788511637,324.7465484755368,3,1.0,0.14334705075445817,0.8566529492455418,0.048116544574786445,0.027949670936366577,0.027921523942327244,0.0516042635553418,0.4684975852054946,0.75,2.252782018294675,0.3242011867470432,0.5790830068864377,False,0,,,False,False,False,0.0208270567854657,0.0927582879697057,0.0170116763316883,0.1791856493948089,0.3989374553109798,False,False,False,0.39999999999999997,-0.39999999999999997,0.0,6.74168491459776,variable_and_atlas_unsupported,True,False,False,True
GFI1B,RPLP0,RPLP0,ENSG00000089157,0.1405329599519966,0.1405329599519966,True,0.8121165644171779,476.9940635087207,0.0058984910836762,True,-0.017839989747217,0.132423109137156,3.68120996968471e-85,False,False,False,0.1405329599519966,-0.007510430896513935,0.007510430896513935,0.832350116614076,0.75,0.03710855061315695,0.9986149584487846,1910.3079434249787,0.07034809734936993,0.07034809734936993,0.043621399176954734,1.0,0.012689963098065346,0.9995730145175633,1933.8469671240248,0.0391178398969468,0.0391178398969468,0.345679012345679,1.0,0.007927088914678266,0.9999999999999868,1875.8357003874014,3,0.6666666666666666,0.345679012345679,0.654320987654321,0.03913781101269351,0.039237615712081154,0.03918221330814113,0.07785852824588387,0.3979490241879844,0.75,5.391683060516495,0.06748556672539165,0.24428985849717794,False,1,0.1504742777085708,0.6885005162203544,False,False,False,-0.0214248756196399,-0.0080687719616704,0.0167837579663399,0.110964032042568,0.423149485355603,False,False,False,0.19999999999999998,-0.7999999999999999,0.25,6.169598312976511,variable_and_atlas_unsupported,True,False,False,True
GFI1B,CDC6,CDC6,ENSG00000094804,0.1403444895874309,0.1403444895874309,True,0.0667177914110429,9.86707128949748,0.0060356652949245,False,,,,False,False,False,0.1403444895874309,0.05459392137217185,0.05459392137217185,0.12909864178899713,1.0,0.020113490842925717,0.44944598337949776,40.269622256527185,0.06993432979057035,0.06993432979057035,0.04458161865569273,1.0,0.01048033128520444,0.5649017933390307,54.922389713749794,0.07193757942687959,0.07193757942687959,0.09231824417009603,1.0,0.04597645260292106,0.5291557876414318,52.216460644279294,3,1.0,0.09231824417009603,0.907681755829904,0.07004867738112691,0.009525991731483881,0.009488094419387498,0.017343658054707736,0.042376704024385765,1.0,0.2643599587223053,0.8761832859795443,0.9271067590108342,True,1,0.133364574684811,0.9747167166347716,False,False,False,-0.026078508049774,-0.0902943957352216,-0.1579988719825237,0.1793621388808778,0.6892183340471726,False,False,False,1.0,-0.19999999999999998,0.75,2.3857372342411676,transportable_but_atlas_unsupported,False,False,False,False
