TF,target,target_symbol,target_gene_id,signed_association_day14_frozen,absolute_association_day14_frozen,frozen_day14_E0,signed_association_day7,absolute_association_day7,rank_fraction_day7,bootstrap_top5_frequency_day7,bootstrap_sign_consistency_day7,E0_timepoint_day7,power_matched_bootstrap_top5_frequency_day7,power_matched_bootstrap_sign_consistency_day7,E0_timepoint_power_matched_day7,state_unadjusted_signed_association_day7,state_unadjusted_absolute_association_day7,state_unadjusted_rank_fraction_day7,state_unadjusted_bootstrap_top5_frequency_day7,state_unadjusted_bootstrap_sign_consistency_day7,state_unadjusted_E0_timepoint_day7,signed_association_day9,absolute_association_day9,rank_fraction_day9,bootstrap_top5_frequency_day9,bootstrap_sign_consistency_day9,E0_timepoint_day9,power_matched_bootstrap_top5_frequency_day9,power_matched_bootstrap_sign_consistency_day9,E0_timepoint_power_matched_day9,state_unadjusted_signed_association_day9,state_unadjusted_absolute_association_day9,state_unadjusted_rank_fraction_day9,state_unadjusted_bootstrap_top5_frequency_day9,state_unadjusted_bootstrap_sign_consistency_day9,state_unadjusted_E0_timepoint_day9,signed_association_day11,absolute_association_day11,rank_fraction_day11,bootstrap_top5_frequency_day11,bootstrap_sign_consistency_day11,E0_timepoint_day11,power_matched_bootstrap_top5_frequency_day11,power_matched_bootstrap_sign_consistency_day11,E0_timepoint_power_matched_day11,state_unadjusted_signed_association_day11,state_unadjusted_absolute_association_day11,state_unadjusted_rank_fraction_day11,state_unadjusted_bootstrap_top5_frequency_day11,state_unadjusted_bootstrap_sign_consistency_day11,state_unadjusted_E0_timepoint_day11,signed_association_day14,absolute_association_day14,rank_fraction_day14,bootstrap_top5_frequency_day14,bootstrap_sign_consistency_day14,E0_timepoint_day14,power_matched_bootstrap_top5_frequency_day14,power_matched_bootstrap_sign_consistency_day14,E0_timepoint_power_matched_day14,state_unadjusted_signed_association_day14,state_unadjusted_absolute_association_day14,state_unadjusted_rank_fraction_day14,state_unadjusted_bootstrap_top5_frequency_day14,state_unadjusted_bootstrap_sign_consistency_day14,state_unadjusted_E0_timepoint_day14,discovery_pattern,power_matched_discovery_pattern,discovery_class,any_preterminal_E0,preterminal_E0_omitted_by_day14,power_matched_preterminal_E0,power_robust_preterminal_omission,state_unadjusted_preterminal_E0,state_unadjusted_preterminal_omission,state_unadjusted_only_preterminal_omission
BCL11A,NFIA,NFIA,ENSG00000162599,0.2562380457922823,0.2562380457922823,True,0.23127385339873907,0.23127385339873907,0.0010975442447523666,1.0,1.0,True,1.0,1.0,True,0.2949658157965842,0.2949658157965842,0.00041157909178213747,1.0,1.0,True,0.2769375939615866,0.2769375939615866,0.00013717421124828533,1.0,1.0,True,1.0,1.0,True,0.3364267950832852,0.3364267950832852,0.00027434842249657066,1.0,1.0,True,0.34940211432335455,0.34940211432335455,0.00013717421124828533,1.0,1.0,True,1.0,1.0,True,0.4250593102142666,0.4250593102142666,0.00013717421124828533,1.0,1.0,True,0.2562380457922824,0.2562380457922824,0.0006858710562414266,1.0,1.0,True,1.0,1.0,True,0.3605536721211283,0.3605536721211283,0.0005486968449931413,1.0,1.0,True,1111,1111,persistent_discovery,True,False,True,False,True,False,False
NFE2,SOX6,SOX6,ENSG00000110693,0.2552008069603036,0.2552008069603036,True,0.09622508300549464,0.09622508300549464,0.00823158183564275,0.6,1.0,False,0.22,1.0,False,0.09618093913166616,0.09618093913166616,0.007682809713266566,0.58,1.0,False,0.1081569997896336,0.1081569997896336,0.00205761316872428,0.99,1.0,True,0.7,1.0,True,0.1566532168537811,0.1566532168537811,0.0012345679012345679,0.99,1.0,True,0.14618387093015017,0.14618387093015017,0.005349794238683128,0.89,1.0,True,0.89,1.0,True,0.2500366047538787,0.2500366047538787,0.0013717421124828531,1.0,1.0,True,0.25520080696030356,0.25520080696030356,0.0009602194787379973,1.0,1.0,True,1.0,1.0,True,0.25530200990621055,0.25530200990621055,0.0008230452674897119,1.0,1.0,True,0111,0111,cross_time_discovery,True,False,True,False,True,False,False
NFE2,ALAS2,ALAS2,ENSG00000158578,0.2483499101336728,0.2483499101336728,True,0.14787794718518354,0.14787794718518354,0.00027438606118809165,0.97,1.0,True,0.95,1.0,True,0.14630687574175055,0.14630687574175055,0.00041157909178213747,0.99,1.0,True,0.09830751984691587,0.09830751984691587,0.004252400548696845,0.87,1.0,True,0.64,1.0,False,0.13719222830234878,0.13719222830234878,0.0031550068587105624,1.0,1.0,True,0.1745853992265538,0.1745853992265538,0.0016460905349794238,0.99,1.0,True,0.96,1.0,True,0.27154762541640876,0.27154762541640876,0.0008230452674897119,1.0,1.0,True,0.24834991013367286,0.24834991013367286,0.0010973936899862826,1.0,1.0,True,1.0,1.0,True,0.2428690889560913,0.2428690889560913,0.0015089163237311386,1.0,1.0,True,1111,1011,persistent_discovery,True,False,True,False,True,False,False
BCL11A,SOX6,SOX6,ENSG00000110693,0.2477383637414083,0.2477383637414083,True,0.16806264448930183,0.16806264448930183,0.009329126080395116,0.98,1.0,True,0.95,1.0,True,0.202993867555501,0.202993867555501,0.008917546988612978,1.0,1.0,True,0.24308228736331675,0.24308228736331675,0.0005486968449931413,1.0,1.0,True,1.0,1.0,True,0.34015246083761164,0.34015246083761164,0.00013717421124828533,1.0,1.0,True,0.28117736262452214,0.28117736262452214,0.0005486968449931413,1.0,1.0,True,1.0,1.0,True,0.3866203183729092,0.3866203183729092,0.00041152263374485596,1.0,1.0,True,0.24773836374140842,0.24773836374140842,0.0008230452674897119,1.0,1.0,True,1.0,1.0,True,0.30186392268550444,0.30186392268550444,0.005898491083676269,1.0,1.0,True,1111,1111,persistent_discovery,True,False,True,False,True,False,False
NFE2,SNCA,SNCA,ENSG00000145335,0.2469669256346492,0.2469669256346492,True,0.030177206506175624,0.030177206506175624,0.3910001371930306,0.02,0.84,False,0.0,0.81,False,0.034392805715875184,0.034392805715875184,0.32322678007957195,0.03,0.88,False,0.05317343807860674,0.05317343807860674,0.0794238683127572,0.18,1.0,False,0.12,0.93,False,0.0946392377927724,0.0946392377927724,0.01879286694101509,0.67,1.0,False,0.14355164447439567,0.14355164447439567,0.005761316872427984,0.89,1.0,True,0.84,1.0,True,0.2421537220916203,0.2421537220916203,0.0017832647462277093,1.0,1.0,True,0.2469669256346492,0.2469669256346492,0.0012345679012345679,1.0,1.0,True,1.0,1.0,True,0.24868062985325415,0.24868062985325415,0.0009602194787379973,1.0,1.0,True,0011,0011,cross_time_discovery,True,False,True,False,True,False,False
NFE2,GYPC,GYPC,ENSG00000136732,0.2468838827451369,0.2468838827451369,True,0.11196045514873475,0.11196045514873475,0.0020578954589106874,0.71,1.0,True,0.58,1.0,False,0.11276681858653367,0.11276681858653367,0.002195088489504733,0.76,1.0,True,0.12563105677190023,0.12563105677190023,0.0008230452674897119,0.98,1.0,True,0.9,1.0,True,0.15271960346561597,0.15271960346561597,0.0015089163237311386,1.0,1.0,True,0.12985768291513927,0.12985768291513927,0.011248285322359396,0.71,1.0,True,0.66,1.0,False,0.19079049957782462,0.19079049957782462,0.013717421124828532,0.9,1.0,True,0.24688388274513703,0.24688388274513703,0.0013717421124828531,1.0,1.0,True,1.0,1.0,True,0.24722451813840662,0.24722451813840662,0.0010973936899862826,1.0,1.0,True,1111,0101,persistent_discovery,True,False,True,False,True,False,False
NFE2,FECH,FECH,ENSG00000066926,0.2463138301139071,0.2463138301139071,True,0.032888378857861125,0.032888378857861125,0.34805871861709425,0.04,0.82,False,0.09,0.8,False,0.03594068682339586,0.03594068682339586,0.2996295788173961,0.06,0.93,False,0.06093403895446923,0.06093403895446923,0.04609053497942387,0.32,1.0,False,0.28,1.0,False,0.08429893128311607,0.08429893128311607,0.029492455418381344,0.53,1.0,False,0.13606502816495952,0.13606502816495952,0.008916323731138546,0.78,1.0,True,0.78,1.0,True,0.2142807850917722,0.2142807850917722,0.006858710562414266,0.98,1.0,True,0.24631383011390698,0.24631383011390698,0.0015089163237311386,1.0,1.0,True,1.0,1.0,True,0.24119633314469363,0.24119633314469363,0.0016460905349794238,1.0,1.0,True,0011,0011,cross_time_discovery,True,False,True,False,True,False,False
NFE2,RHAG,RHAG,ENSG00000112077,0.2419890468045344,0.2419890468045344,True,0.07312705343626527,0.07312705343626527,0.04129510220880779,0.29,0.99,False,0.14,0.95,False,0.07907834868965513,0.07907834868965513,0.026478254904650843,0.37,0.99,False,0.10616054133053593,0.10616054133053593,0.0023319615912208505,0.92,1.0,True,0.78,0.98,True,0.1331127814107877,0.1331127814107877,0.003703703703703704,1.0,1.0,True,0.12388497068403233,0.12388497068403233,0.015363511659807956,0.68,1.0,False,0.7,1.0,True,0.20403719128570844,0.20403719128570844,0.00905349794238683,0.95,1.0,True,0.24198904680453462,0.24198904680453462,0.0016460905349794238,1.0,1.0,True,1.0,1.0,True,0.24374287756781693,0.24374287756781693,0.0013717421124828531,1.0,1.0,True,0101,0111,cross_time_discovery,True,False,True,False,True,False,False
NFE2,TSPAN5,TSPAN5,ENSG00000168785,0.2398314970271475,0.2398314970271475,True,0.047500247686670535,0.047500247686670535,0.17697900946631911,0.04,0.95,False,0.07,0.91,False,0.05464418118432091,0.05464418118432091,0.1194951296474139,0.11,0.98,False,0.07855092492814132,0.07855092492814132,0.015500685871056241,0.69,1.0,False,0.38,0.99,False,0.12895909390921448,0.12895909390921448,0.0043895747599451305,1.0,1.0,True,0.11058929107296424,0.11058929107296424,0.02551440329218107,0.55,1.0,False,0.55,1.0,False,0.21233231857567203,0.21233231857567203,0.007133058984910837,1.0,1.0,True,0.23983149702714754,0.23983149702714754,0.0017832647462277093,1.0,1.0,True,1.0,1.0,True,0.23890798422231857,0.23890798422231857,0.0019204389574759945,1.0,1.0,True,0001,0001,day14_only_discovery,False,False,False,False,True,False,False
BCL11A,AC107223.1,AC107223.1,ENSG00000251600,0.239599270305971,0.239599270305971,True,0.10563845270327202,0.10563845270327202,0.05556317739058856,0.33,1.0,False,0.22,1.0,False,0.1368950489158993,0.1368950489158993,0.039648785841679246,0.56,1.0,False,0.1569579327848094,0.1569579327848094,0.013031550068587106,0.99,1.0,True,0.85,1.0,True,0.23629731028858542,0.23629731028858542,0.005212620027434842,1.0,1.0,True,0.2216759859061352,0.2216759859061352,0.003840877914951989,1.0,1.0,True,1.0,1.0,True,0.3352086056159549,0.3352086056159549,0.0019204389574759945,1.0,1.0,True,0.23959927030597106,0.23959927030597106,0.0009602194787379973,1.0,1.0,True,1.0,1.0,True,0.3098159752977986,0.3098159752977986,0.004252400548696845,1.0,1.0,True,0111,0111,cross_time_discovery,True,False,True,False,True,False,False
KLF1,SLC25A37,SLC25A37,ENSG00000147454,0.2395602383929372,0.2395602383929372,True,0.19110480893366796,0.19110480893366796,0.00041157909178213747,1.0,1.0,True,0.99,1.0,True,0.27041940768408346,0.27041940768408346,0.0005487721223761833,1.0,1.0,True,0.20865205298858822,0.20865205298858822,0.00013717421124828533,1.0,1.0,True,1.0,1.0,True,0.2986505837677898,0.2986505837677898,0.00013717421124828533,1.0,1.0,True,0.13796992326228158,0.13796992326228158,0.0021947873799725653,0.9,1.0,True,0.9,1.0,True,0.29189467274674397,0.29189467274674397,0.0010973936899862826,1.0,1.0,True,0.2395602383929372,0.2395602383929372,0.00013717421124828533,1.0,1.0,True,1.0,1.0,True,0.21429822440861807,0.21429822440861807,0.00027434842249657066,1.0,1.0,True,1111,1111,persistent_discovery,True,False,True,False,True,False,False
NFE2,OSBP2,OSBP2,ENSG00000184792,0.2388828457053114,0.2388828457053114,True,0.035978631172345975,0.035978631172345975,0.3033337906434353,0.03,0.84,False,0.01,0.85,False,0.04137481705056556,0.04137481705056556,0.23734394292769928,0.05,0.91,False,0.08128928564768198,0.08128928564768198,0.012757201646090535,0.69,1.0,False,0.41,1.0,False,0.11351418272399076,0.11351418272399076,0.008093278463648833,0.93,1.0,True,0.10126907197434465,0.10126907197434465,0.038408779149519894,0.49,1.0,False,0.36,1.0,False,0.1921271970715356,0.1921271970715356,0.01316872427983539,0.89,1.0,True,0.2388828457053115,0.2388828457053115,0.0019204389574759945,1.0,1.0,True,1.0,1.0,True,0.2406607914272127,0.2406607914272127,0.0017832647462277093,1.0,1.0,True,0001,0001,day14_only_discovery,False,False,False,False,True,False,False
NFE2,PIP5K1B,PIP5K1B,ENSG00000107242,0.2325057448450646,0.2325057448450646,True,0.06281336225241912,0.06281336225241912,0.07435862258197283,0.26,0.99,False,0.12,0.95,False,0.06914438365520582,0.06914438365520582,0.04870352586088627,0.36,0.97,False,-0.0035299734805703644,0.0035299734805703644,0.9032921810699589,0.01,0.62,False,0.01,0.52,False,0.017424510409076093,0.017424510409076093,0.6160493827160494,0.0,0.81,False,0.05091314759660311,0.05091314759660311,0.2654320987654321,0.05,0.97,False,0.04,0.93,False,0.09832080096400624,0.09832080096400624,0.15089163237311384,0.05,1.0,False,0.23250574484506473,0.23250574484506473,0.00205761316872428,1.0,1.0,True,1.0,1.0,True,0.23292405545087577,0.23292405545087577,0.00205761316872428,1.0,1.0,True,0001,0001,day14_only_discovery,False,False,False,False,False,False,False
BCL11A,STRN3,STRN3,ENSG00000196792,0.2315403622659105,0.2315403622659105,True,0.007806670607160045,0.007806670607160045,0.8595143366716971,0.0,0.68,False,0.0,0.69,False,0.0007025574561859962,0.0007025574561859962,0.9864178899711895,0.0,0.53,False,0.15257929146770235,0.15257929146770235,0.016049382716049384,0.98,1.0,True,0.89,1.0,True,0.17154263709815065,0.17154263709815065,0.02112482853223594,0.94,1.0,True,0.21716610983659723,0.21716610983659723,0.004801097393689987,1.0,1.0,True,1.0,1.0,True,0.26327312674657843,0.26327312674657843,0.01083676268861454,1.0,1.0,True,0.2315403622659106,0.2315403622659106,0.0010973936899862826,1.0,1.0,True,1.0,1.0,True,0.27691576742602714,0.27691576742602714,0.01056241426611797,1.0,1.0,True,0111,0111,cross_time_discovery,True,False,True,False,True,False,False
BCL11A,TFRC,TFRC,ENSG00000072274,0.2272465920094975,0.2272465920094975,True,0.22363823555316686,0.22363823555316686,0.0013719303059404582,1.0,1.0,True,0.98,1.0,True,0.2945696343412759,0.2945696343412759,0.0005487721223761833,1.0,1.0,True,0.15877179635454108,0.15877179635454108,0.012071330589849109,1.0,1.0,True,0.9,1.0,True,0.22110029711319745,0.22110029711319745,0.007407407407407408,1.0,1.0,True,0.11515648017340711,0.11515648017340711,0.0757201646090535,0.14,1.0,False,0.12,1.0,False,0.15118282183168316,0.15118282183168316,0.09780521262002743,0.04,1.0,False,0.22724659200949743,0.22724659200949743,0.0012345679012345679,1.0,1.0,True,1.0,1.0,True,0.26949421511858646,0.26949421511858646,0.013305898491083675,0.99,1.0,True,1101,1101,cross_time_discovery,True,False,True,False,True,False,False
BCL11A,H1F0,H1F0,ENSG00000189060,0.2232901027636249,0.2232901027636249,True,0.0037421227692314963,0.0037421227692314963,0.937302785018521,0.0,0.54,False,0.0,0.55,False,0.0264956511756484,0.0264956511756484,0.5974756482370696,0.0,0.85,False,0.08086161603126027,0.08086161603126027,0.11481481481481481,0.06,1.0,False,0.07,1.0,False,0.16526955746360436,0.16526955746360436,0.0242798353909465,0.87,1.0,True,0.18674158102494587,0.18674158102494587,0.011934156378600824,0.95,1.0,True,0.95,1.0,True,0.326280471912042,0.326280471912042,0.0023319615912208505,1.0,1.0,True,0.2232901027636249,0.2232901027636249,0.0013717421124828531,1.0,1.0,True,1.0,1.0,True,0.3473794451153693,0.3473794451153693,0.0012345679012345679,1.0,1.0,True,0011,0011,cross_time_discovery,True,False,True,False,True,False,False
BCL11A,MFHAS1,MFHAS1,ENSG00000147324,0.2222852266136859,0.2222852266136859,True,0.07784802874577189,0.07784802874577189,0.12361092056523529,0.07,1.0,False,0.08,1.0,False,0.12036005578901882,0.12036005578901882,0.059267389216627796,0.2,1.0,False,0.17252554065582834,0.17252554065582834,0.007270233196159122,0.99,1.0,True,0.96,1.0,True,0.24156792619147957,0.24156792619147957,0.003978052126200274,1.0,1.0,True,0.16938366264745577,0.16938366264745577,0.02030178326474623,0.76,1.0,True,0.9,1.0,True,0.2732847677594134,0.2732847677594134,0.008779149519890261,1.0,1.0,True,0.22228522661368613,0.22228522661368613,0.0015089163237311386,1.0,1.0,True,1.0,1.0,True,0.2952080578698896,0.2952080578698896,0.006584362139917695,1.0,1.0,True,0111,0111,cross_time_discovery,True,False,True,False,True,False,False
