TF,target,response_pattern,refined_response_pattern,unresolved_reason,stable_small_response_supported,near_threshold_persistent,common_effect,common_effect_se,common_effect_fdr,interaction_fdr,guide_testable,effective_guides_used,all_timepoint_same_direction,all_timepoint_guide_consistent,temporal_equivalence_supported,uniformly_negligible_supported,effect_day 7,effect_day 9,effect_day 11,effect_day 14,effect_fdr_day 7,effect_fdr_day 9,effect_fdr_day 11,effect_fdr_day 14,consistent_guides_day 7,consistent_guides_day 9,consistent_guides_day 11,consistent_guides_day 14,E1_supported
BCL11A,EIF4G3,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.03978927000973131,0.0419824124825105,0.5074057877592002,0.4950664918874216,True,2,False,False,False,False,-0.0276168296220798,0.0008493457408709,0.0581001464806153,-0.2435186844157906,0.8876470345094574,0.9918803582875678,0.8476035346422891,0.1412024444420929,3,1,3,3,False
BCL11A,ADD2,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.03740682800349219,0.04017392884145031,0.5173150243774715,0.7098654182779504,True,2,False,True,False,False,-0.0397214402059009,0.0289110818760639,-0.1645589547537073,-0.0638033251757433,0.8033876909864675,0.8966988424979062,0.5708557728982963,0.7783561423203194,3,2,3,2,False
BCL11A,KHDRBS1,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.03815785071427671,0.03341038120544601,0.4184193188582386,0.7174264556801869,True,2,False,False,False,False,-0.0416950835658492,-0.0109805036617954,0.0231908856412419,-0.1479452187184175,0.7258578477711426,0.9394571881527846,0.9244998079233776,0.2832022278358377,3,1,1,2,False
BCL11A,CD58,unresolved_no_interaction,reason_coded_unresolved,small_same_direction_not_equivalently_weak,False,False,-0.049539744849145424,0.02529832706850989,0.1392311388513579,0.5325720593049655,True,2,True,True,False,False,-0.030993319159508,-0.0084444459105532,-0.1672957328847048,-0.0689969372824013,0.7308118277972694,0.9394571881527846,0.2436383373277859,0.5647810722900518,3,2,3,2,False
BCL11A,NCEH1,unresolved_no_interaction,reason_coded_unresolved,common_response_temporal_pattern_unresolved,False,False,-0.13917879213182938,0.03621451370827288,0.002273977464482334,0.560231410216532,True,2,True,True,False,False,-0.2070533416510128,-0.0418355881643806,-0.1761858589691786,-0.1898250801930524,0.0143539261431288,0.7861900655880469,0.4728994811059576,0.1908825242623152,3,2,3,3,False
BCL11A,ZNF273,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.03407133308686959,0.03714573524962068,0.52373529854862,0.5089737328609713,True,2,False,True,False,False,0.0214427956826333,-0.0802525428347155,-0.1682247999254426,0.0837305584927599,0.8905975590673662,0.5519932917679039,0.5160731773428816,0.6526872752787192,2,2,3,2,False
BCL11A,HIST1H1E,unresolved_no_interaction,reason_coded_unresolved,small_same_direction_not_equivalently_weak,False,False,-0.06696637475994016,0.037607922318611965,0.18419356016626295,0.7323482562159784,True,2,True,False,False,False,-0.012701893604712,-0.0545783754869228,-0.0866999592333599,-0.1818374677985905,0.9373479364192834,0.7149312703380603,0.7525726928772896,0.2328338706818136,1,3,2,3,False
BCL11A,CPOX,unresolved_no_interaction,temporally_stable_small_response_supported,small_common_response_supported,True,False,-0.08532740562826757,0.03117388782975794,0.03097381858799305,0.9214043062044416,True,2,True,True,True,False,-0.0528938777755602,-0.0819812500216091,-0.1250209215385091,-0.119389366330583,0.5898064642822778,0.4130390136586449,0.5784571940123482,0.3732812544154746,2,3,3,3,False
BCL11A,TRIM10,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,0.12342612114544008,0.05809989771510595,0.10378322834649073,0.594813419864043,True,2,False,False,False,False,0.2715113550295798,0.1080955408615667,-0.0194405690113113,0.0007901656984851,0.0531270379041199,0.6209613946510009,0.9590175778459896,0.9972278419072574,3,2,1,3,False
BCL11A,CNNM2,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.03712585634091306,0.03917482570900243,0.5074057877592002,0.5135662436524698,True,2,False,False,False,False,-0.1552392386968823,-0.0140017530414333,0.044740381695758,0.0658732620132057,0.1115086557178886,0.9394571881527846,0.8925546610057976,0.7514833296407644,3,2,2,1,False
