TF,timepoint,trajectory_shift_days,trajectory_shift_se,trajectory_shift_p_value,interaction_p_value,consistent_guides,minimum_guide_shift,targeting_guides,trajectory_shift_fdr,interaction_fdr,trajectory_shift_supported
GFI1B,day 11,-0.9742792138735522,0.133394541380337,4.658565816815651e-10,8.587358387208574e-05,3,0.686825027926241,GFI1B_140;GFI1B_413;GFI1B_526,1.4907410613810082e-08,0.0002289962236588953,True
GFI1B,day 14,-0.06922871970994149,0.12650090349322785,0.5860468413656486,8.587358387208574e-05,3,0.16808043828582875,GFI1B_140;GFI1B_413;GFI1B_526,0.6251166307900251,0.0002289962236588953,False
BCL11A,day 7,-0.06473819504985512,0.09388578141937116,0.49289954042053385,0.032563177965731764,3,0.043813106435858895,BCL11A_476;BCL11A_686;BCL11A_752,0.5438891480502442,0.04341757062097568,False
BCL11A,day 9,-0.1769923328157118,0.08775995552714272,0.04779027166273284,0.032563177965731764,3,0.17717980904586605,BCL11A_476;BCL11A_686;BCL11A_752,0.0849604829559695,0.04341757062097568,False
BCL11A,day 11,-0.42494619007515866,0.13667763876243527,0.0027690795853490932,0.032563177965731764,3,0.11566546338179211,BCL11A_476;BCL11A_686;BCL11A_752,0.006816195902397768,0.04341757062097568,False
BCL11A,day 14,0.12760785103857097,0.13085724916064745,0.3330374947823928,0.032563177965731764,2,0.026523474667394947,BCL11A_476;BCL11A_686;BCL11A_752,0.3965191237839384,0.04341757062097568,False
TAL1,day 7,-0.419964455957067,0.08492069485119565,5.509615010949947e-06,0.0011523810152281177,3,0.31755798993587114,TAL1_523;TAL1_536;TAL1_556,2.203846004379979e-05,0.0023047620304562353,False
TAL1,day 9,-0.3337591434449082,0.08148560895028344,0.00011716819218592905,0.0011523810152281177,3,0.32360159990780923,TAL1_523;TAL1_536;TAL1_556,0.0003408529227227027,0.0023047620304562353,False
TAL1,day 11,-0.562380202035287,0.12433083347307654,2.599609626927216e-05,0.0011523810152281177,3,0.08666198659838109,TAL1_523;TAL1_536;TAL1_556,8.318750806167091e-05,0.0023047620304562353,True
TAL1,day 14,0.10458022686725976,0.11911228031428324,0.38313043188496426,0.0011523810152281177,2,0.0037370057718598324,TAL1_523;TAL1_536;TAL1_556,0.43786335072567345,0.0023047620304562353,False
KLF1,day 7,-0.20519875367689622,0.09338428865336361,0.03150971427952493,0.9210140024625771,3,0.11417081510178972,KLF1_347;KLF1_395;KLF1_636,0.05931240334969399,0.9210140024625771,False
KLF1,day 9,-0.2493164862259127,0.08566664573884855,0.004918051285629924,0.9210140024625771,3,0.19499751180548852,KLF1_347;KLF1_395;KLF1_636,0.011241260081439827,0.9210140024625771,False
KLF1,day 11,-0.28921006446781056,0.12979875532156795,0.029283763931743173,0.9210140024625771,2,0.11803305760227072,KLF1_347;KLF1_395;KLF1_636,0.058567527863486346,0.9210140024625771,False
KLF1,day 14,-0.18126610791450626,0.12222129542063256,0.1428082172440038,0.9210140024625771,2,0.14907811961108783,KLF1_347;KLF1_395;KLF1_636,0.21761252151467247,0.9210140024625771,False
GATA2,day 7,0.12228534898600074,0.08956536645080151,0.176788342468978,0.007238331760989956,3,0.054245683619471574,GATA2_176;GATA2_562;GATA2_752,0.24596638952205635,0.011581330817583928,False
GATA2,day 9,-0.035207801510615366,0.07986624789507288,0.660773423288208,0.007238331760989956,3,0.017722011541296823,GATA2_176;GATA2_562;GATA2_752,0.6820886950071824,0.011581330817583928,False
GATA2,day 11,-0.1636699848497285,0.11895554553509032,0.17350625195583932,0.007238331760989956,2,0.02097141603771509,GATA2_176;GATA2_562;GATA2_752,0.24596638952205635,0.011581330817583928,False
GATA2,day 14,-0.3906631692117024,0.11563850493228446,0.0012274132895504631,0.007238331760989956,3,0.2750152640608749,GATA2_176;GATA2_562;GATA2_752,0.0032731021054679017,0.011581330817583928,False
